Modèle,Accuracy_Mean,Accuracy_Std
RandomForest,0.7046904315196998,0.01213580610040994
GradientBoosting,0.7046904315196998,0.014070043721765605
SVM,0.6956848030018762,0.00944816383640835
LogisticRegression,0.6851782363977487,0.01455213465640922
